"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"ANIM3","17h07","2,46","-1,20","0,41","4,68","-37,20","0,40","2,40","2,51","28,26 M"
"LPSB3","17h07","1,63","-1,21","-2,98","-6,86","-34,15","-26,57","1,63","1,66","429,13 K"
"RANI3","17h06","7,33","-1,21","0,00","-1,08","-29,23","-31,76","7,32","7,41","6,68 M"
"MELI34","17h10","98,10","-1,22","-0,91","5,59","51,51","98,10","97,92","99,39","53,65 M"
"SEER3","17h05","5,65","-1,22","-1,22","-5,04","-28,12","-7,53","5,59","5,75","3,23 M"
"TLNC34","16h32","26,58","-1,23","-2,96","-0,15","43,18","43,11","26,58","26,67","5,49 K"
"BBSD11","10h59","106,19","-1,23","-0,78","-3,69","-2,77","13,29","106,19","107,51","17,77 K"
"NVHO11","16h46","12,03","-1,23","-2,04","-7,46","0,84","12,54","12,03","12,13","884,03"
"RBFF11","17h05","52,91","-1,23","-0,17","-10,93","-13,26","-11,74","52,91","54,97","1,21 M"
"YDUQ3","17h07","10,37","-1,24","1,27","12,84","-52,93","-42,77","10,26","10,79","90,97 M"
"AFLT3","13h53","7,03","-1,26","-1,26","-0,42","-11,83","2,21","7,03","7,03","1,41 K"
"CRPT11","17h15","14,80","-1,27","0,27","7,17","58,80","121,23","14,51","15,00","63,13 K"
"MLAS3","17h06","1,55","-1,27","1,97","-4,32","-25,84","-22,50","1,54","1,60","6,18 M"
"VIVA3","17h07","25,53","-1,28","-2,41","-5,20","-24,24","-2,93","25,19","25,90","173,11 M"
"BPAC11","17h07","32,33","-1,28","-2,41","-2,83","-12,79","8,66","32,21","32,73","327,24 M"
"PYPL34","17h10","23,08","-1,28","-2,57","8,87","51,84","72,37","22,99","23,22","1,07 M"
"E1TN34","10h30","140,00","-1,28","-1,28","9,22","70,54","101,82","140,00","140,00","14,14 K"
"C1NC34","16h11","348,60","-1,29","-1,29","-14,29","-2,64","-3,84","348,60","348,60","2,09 K"
"MMMC34","17h10","189,05","-1,29","-1,74","1,48","209,19","285,50","186,96","201,50","4,26 M"
"CSUD3","17h05","16,77","-1,29","-1,53","-4,55","-10,39","14,37","16,66","16,92","788,58 K"
"RAIL3","17h07","18,90","-1,31","-1,51","-5,50","-17,28","-15,36","18,73","19,03","810,09 M"
"HREC11","17h05","8,27","-1,31","-2,71","-3,05","-7,91","-90,17","8,23","8,48","958,61 K"
"TEND3","17h06","14,26","-1,31","0,78","14,72","-3,84","30,11","14,10","14,50","52,07 M"
"E1XC34","11h55","230,92","-1,32","2,18","3,63","36,24","22,75","230,92","230,92","4,85 K"
"RBRR11","17h05","85,06","-1,32","-2,05","-4,36","-4,58","-4,87","84,01","86,46","5,39 M"
"BTAL11","16h54","70,67","-1,33","-1,96","-4,32","-11,04","-15,21","70,52","71,75","1,49 M"
"U1AI34","16h07","47,20","-1,36","-4,07","2,34","13,08","36,81","47,20","47,20","1,24 K"
"PLPL3","17h07","13,79","-1,36","-0,36","10,76","23,31","67,47","13,54","14,02","13,84 M"
"TSMC34","17h10","141,35","-1,37","-1,60","19,75","125,49","151,26","140,36","143,00","28,14 M"
"P1GR34","16h11","707,16","-1,39","-1,19","3,50","84,68","76,49","701,48","707,16","115,88 K"
"UCAS3","17h00","2,13","-1,39","0,00","-3,18","-19,01","-6,88","2,13","2,18","73,11 K"
"ABTT34","13h10","54,96","-1,40","-0,97","6,95","24,39","38,74","54,96","54,96","221,94"
"AIRB34","17h05","38,45","-1,41","-0,93","11,45","14,95","27,07","38,45","38,82","343,36 K"
"DVFF11","17h00","6,93","-1,42","2,21","-6,35","-16,30","-91,40","6,85","6,95","9,22 K"
"BEEF3","17h07","5,54","-1,42","-1,42","-12,62","-25,84","-24,93","5,48","5,59","79,45 M"
"FVPQ11","16h53","59,54","-1,42","-1,85","-5,04","-47,77","-49,97","59,52","60,43","100,75 K"
"SRNA3","17h07","8,27","-1,43","-1,66","1,35","-19,00","-2,82","8,19","8,44","23,61 M"
"ATMP3","16h35","1,37","-1,44","-2,84","-15,95","-69,56","-54,18","1,37","1,37","12,22 K"
"CEOC11","16h41","40,39","-1,44","-2,42","-5,63","-12,25","-10,54","40,00","40,81","74,13 K"
"SMAC11","17h15","50,61","-1,44","-1,11","-1,67","-15,01","0,76","50,61","51,10","854,04 K"
"UNIP6","17h06","45,62","-1,45","-0,28","-2,17","-33,06","-28,06","45,62","46,64","8,81 M"
"COGN3","17h07","1,36","-1,45","0,74","6,25","-61,03","-45,38","1,36","1,41","59,21 M"
"HGFF11","17h06","75,00","-1,47","-2,45","-4,73","-14,72","-12,34","74,10","77,00","1,36 M"
"BEWJ39","16h40","48,53","-1,48","-2,75","-0,49","27,18","34,91","48,30","48,53","468,37 K"
"EQIR11","17h00","8,64","-1,48","-1,82","-4,11","-11,11","-14,37","8,58","8,83","413,35 K"
"NOCG34","14h34","594,60","-1,49","-1,39","3,18","33,94","23,68","594,60","594,60","4,21 K"
"NCHB11","17h00","8,57","-1,49","-2,06","-5,72","-89,65","-89,31","8,51","8,78","454,05 K"
"BTRA11","16h49","38,18","-1,50","-1,72","-2,10","-37,59","-42,02","38,01","39,19","289,45 K"
"VCRR11","16h53","65,60","-1,50","-2,94","-2,09","-2,92","-11,80","65,59","67,00","337,74 K"
"INGG34","14h11","96,40","-1,53","-2,72","-2,33","40,54","58,62","96,40","96,40","2,42 K"
"S1YK34","16h20","104,30","-1,54","-0,38","7,66","47,30","57,56","104,21","104,40","4,89 M"
"CVSH34","16h40","32,58","-1,54","-7,44","-3,63","-12,16","-3,63","32,35","32,79","72,75 K"
"VIVT3","17h07","53,61","-1,54","-2,19","-3,96","4,20","24,77","53,37","53,99","176,34 M"
"VRTA11","17h05","82,70","-1,55","-2,01","-5,49","-7,08","-5,74","82,50","84,48","3,34 M"
"VVEO3","17h07","1,90","-1,55","-4,52","4,40","-85,99","-87,60","1,87","1,97","5,86 M"
"COWC34","17h11","124,71","-1,56","-1,20","2,90","56,68","83,36","124,71","127,53","267,38 K"
"VILG11","17h05","81,63","-1,56","-1,02","-3,41","-17,77","-20,48","81,56","83,49","3,61 M"
"RSUL4","17h07","61,01","-1,57","-0,89","-1,60","-18,08","-17,42","61,01","61,01","123,43 K"
"HOND34","16h49","173,28","-1,57","-1,47","0,07","21,26","10,44","173,28","173,28","7,53 K"
"LREN3","17h07","18,16","-1,57","-1,30","0,55","7,02","51,67","17,98","18,36","361,25 M"
"C1GP34","11h06","4,38","-1,57","-0,68","8,15","1,86","18,06","4,38","4,38","17,67"
"A1RE34","16h31","168,64","-1,59","-2,84","1,96","10,86","45,75","167,62","168,64","4,77 K"
"YDRO11","16h40","36,39","-1,60","-2,31","5,45","-2,57","7,25","36,39","36,72","95,29 K"
"BPFF11","17h00","62,83","-1,61","-1,60","-5,62","-11,88","-8,36","62,80","63,86","684,72 K"
"AZEV4","17h07","1,22","-1,61","-2,40","-8,96","-37,76","-40,78","1,19","1,27","5,29 M"
"AZZA3","17h07","40,23","-1,61","-0,40","-4,60","-37,02","-31,28","39,91","41,17","90,21 M"
"CSNA3","17h07","11,49","-1,63","-1,54","-10,86","-38,36","15,94","11,45","11,67","94,89 M"
"MTRE3","17h00","3,61","-1,63","-0,82","1,69","-38,06","4,25","3,60","3,66","4,02 M"
"BRIT3","17h07","3,00","-1,64","-1,96","0,33","-17,20","0,07","2,98","3,06","1,88 M"
"B1AM34","17h05","77,40","-1,66","-3,60","7,44","58,68","101,19","77,32","78,00","55,92 K"
"CCRO3","17h07","12,10","-1,71","-0,82","0,00","-12,82","2,60","12,06","12,23","129,83 M"
"INTB3","17h07","20,14","-1,71","-0,79","0,20","-6,40","12,88","19,97","20,52","19,03 M"
"CYCR11","17h05","8,63","-1,71","-3,14","-12,03","-11,76","-8,00","8,52","8,82","2,58 M"
"BRKM5","17h07","17,80","-1,71","-1,87","-10,69","-18,57","-3,00","17,75","18,10","75,37 M"
"BPAC3","17h05","15,16","-1,75","-1,69","-4,77","-14,47","5,29","15,14","15,41","47,82 K"
"BPAN4","17h06","8,97","-1,75","-2,29","-10,75","3,82","19,53","8,89","9,14","18,92 M"
"HPQB34","13h39","205,59","-1,81","-3,45","5,18","43,99","60,84","205,59","205,59","20,79 K"
"TXRX4","16h47","2,16","-1,82","-6,90","-8,47","-20,00","-28,71","2,16","2,20","19,6 K"
"OULG11","16h47","31,41","-1,84","1,09","4,35","-2,85","-16,60","31,29","32,44","287,43 K"
"EKTR4","16h48","44,60","-1,85","-1,87","-0,73","47,88","49,45","44,60","45,45","199,65 K"
"BSLI3","15h22","9,00","-1,85","-1,21","-6,35","-12,28","-11,59","8,90","9,10","9,88 K"
"R1LC34","16h54","567,24","-1,86","-1,86","10,02","61,65","108,26","567,24","567,24","2,26 K"
"TGAR11","17h05","100,30","-1,86","-3,15","-10,88","-17,39","-17,19","100,10","102,29","19,27 M"
"TELB3","11h05","14,14","-1,87","-2,15","-4,52","-9,71","-11,63","14,14","14,14","21,63 K"
"MOVI3","17h06","5,75","-1,88","1,59","-6,81","-51,64","-38,11","5,67","6,00","39,59 M"
"XPIE11","17h05","66,79","-1,88","-4,04","-7,61","-11,74","-0,88","66,29","68,39","9,95 M"
"MUTC34","17h10","102,99","-1,89","-2,89","9,55","49,39","84,16","101,00","102,99","973,67 K"
"BEWY39","16h40","43,48","-1,90","-1,90","-3,70","9,91","22,90","43,48","43,48","999,24"
"RELG11","16h44","55,90","-1,90","0,02","-11,11","16,46","9,12","54,63","55,99","146,85 K"
"LVBI11","17h05","102,00","-1,90","-3,27","-5,73","-13,46","-13,38","101,63","104,11","6,98 M"
"IDFI11","16h37","2,06","-1,90","3,00","-76,43","-90,64","-90,34","1,98","2,10","7,19 K"
"USIM5","17h07","6,15","-1,91","0,49","-1,44","-31,54","7,25","6,14","6,29","127,11 M"
"MCOR34","10h13","678,27","-1,93","-2,35","5,35","44,50","74,83","678,27","678,27","955,24 K"
"ITLC34","17h10","21,33","-1,93","-1,84","0,99","-46,95","-23,82","21,02","21,74","5,04 M"
"VIGT11","17h06","53,83","-1,93","-3,04","-6,56","-23,48","-18,49","53,56","55,20","2,96 M"
"MELK3","17h06","3,55","-1,93","1,14","3,20","-22,61","-5,50","3,55","3,61","1,92 M"
"H1TH34","11h21","52,90","-1,95","-1,95","-1,03","27,02","15,09","52,90","52,90","1,16 K"
"IGTI11","17h07","21,07","-1,95","-0,89","-0,05","-10,84","8,69","21,04","21,43","75,77 M"
"ENEV3","17h07","13,97","-1,96","-3,12","0,00","2,65","24,84","13,92","14,22","159,83 M"
"C1HR34","13h12","30,70","-1,98","-1,98","3,37","50,04","36,86","30,70","30,70","30,7"
"GUAR3","17h06","7,89","-1,99","-3,19","0,64","22,67","72,90","7,84","8,07","10,1 M"
"A1CR34","15h40","62,51","-1,99","-1,15","1,15","37,24","53,27","62,51","62,51","2,29 K"
"MNPR3","17h05","20,46","-2,01","-0,20","14,75","7,74","30,65","20,21","20,99","199,33 K"
"MNDL3","16h45","16,00","-2,02","-2,50","5,75","21,88","39,07","16,00","16,01","19,64 K"
"ALOS3","17h07","21,98","-2,02","-1,35","1,49","-11,74","2,51","21,82","22,39","77,97 M"
"VBBR3","17h07","22,23","-2,03","-1,68","-5,00","3,02","21,16","22,14","22,57","282,54 M"
"DEVA11","17h05","33,80","-2,03","-2,42","-8,40","-21,76","-24,20","33,50","34,68","1,87 M"
"HSHY34","16h53","209,00","-2,04","-1,28","-4,14","19,31","12,04","209,00","209,00","2,1 K"
"PICE11","16h51","34,32","-2,08","-4,13","-8,33","-48,77","-48,77","34,27","35,83","304,29 K"
"FAED11","17h05","142,00","-2,09","-3,09","-5,71","-8,97","-8,39","140,00","145,76","220,01 K"
"RBRD11","16h03","35,60","-2,09","-1,66","-3,76","-12,60","-6,59","35,38","36,34","63,65 K"
"LJQQ3","17h07","2,81","-2,09","-1,40","-14,85","-53,55","-15,70","2,78","2,87","22,86 M"
"VULC3","17h06","16,29","-2,10","-1,03","-2,55","-6,05","3,97","16,12","16,64","14,87 M"
"PGMN3","17h07","2,79","-2,11","-1,41","6,90","-23,60","-2,72","2,78","2,84","1,03 M"
"MRFG3","17h07","14,41","-2,11","-0,96","5,65","48,56","126,57","14,35","14,78","145,83 M"
"ELMD3","17h07","16,98","-2,13","-0,41","2,29","8,99","11,63","16,61","17,34","2,82 M"
"T1CH34","15h42","13,28","-2,14","-2,14","-8,29","36,81","16,99","13,28","13,28","66,4"
"PRSV11","15h01","58,71","-2,15","-2,15","-1,66","-4,91","-25,57","58,71","58,71","4,8 K"
"AMBP3","17h07","133,30","-2,15","-0,40","-2,70","720,31","788,07","133,30","138,09","33,78 M"
"W1MG34","16h11","45,25","-2,16","-0,40","7,02","6,61","10,40","45,25","45,25","1,6 K"
"MTSA4","17h06","35,80","-2,19","-3,69","-10,25","-24,35","-17,12","35,80","36,56","153,8 K"
"GGPS3","17h07","17,90","-2,19","-2,51","-3,97","-3,51","10,03","17,81","18,24","70,86 M"
"B3SA3","17h07","10,61","-2,21","-0,38","-0,93","-24,81","-3,27","10,55","10,81","546,88 M"
"EURO11","16h33","228,00","-2,22","-2,23","-6,93","-8,80","-7,62","221,01","232,43","51,39 K"
"SJAU11","14h45","56,71","-2,22","11,88","-4,69","4,36","-34,06","56,71","56,71","1,13 K"
"IRIM11","17h00","67,90","-2,26","-0,64","-5,62","-19,86","-19,74","67,90","69,47","136,22 K"
"GFSA3","17h06","1,70","-2,30","-1,73","-23,77","-80,85","-56,72","1,67","1,80","15,08 M"
"ETHE11","17h16","43,61","-2,31","-1,54","6,37","29,99","74,86","43,22","44,39","6,85 M"
"PINE4","17h06","4,65","-2,31","-3,33","3,41","21,16","46,69","4,65","4,79","1,81 M"
"T1DG34","14h59","153,92","-2,34","-3,07","3,67","62,47","91,97","152,96","154,88","22,61 K"
"XPCM11","17h00","7,11","-2,34","-2,60","-3,79","-30,57","-30,29","7,10","7,33","20,29 K"
"O1MC34","16h11","287,40","-2,34","-3,04","2,75","39,18","56,42","287,40","287,40","6,72 K"
"N1VS34","15h52","65,18","-2,35","-2,35","3,46","37,54","40,50","65,18","65,18","3,72 K"
"SPTW11","17h00","36,30","-2,37","-3,20","-7,40","-15,35","-11,87","36,30","37,69","213,64 K"
"MACY34","13h05","89,01","-2,37","-3,25","3,98","-7,77","57,41","89,01","89,55","4,21 K"
"INEP3","17h05","1,63","-2,40","-2,40","-16,41","-61,65","-62,87","1,63","1,72","131,93 K"
"ZAMP3","17h06","2,43","-2,41","-2,02","-6,18","-57,00","-59,95","2,43","2,50","1,65 M"
"PTBL3","17h06","4,45","-2,41","-3,68","-3,26","-40,35","-9,18","4,43","4,59","1,5 M"
"DHER34","17h14","53,99","-2,42","-3,33","0,26","32,40","48,20","53,20","56,55","84,24 K"
"IRDM11","17h06","65,40","-2,45","-3,43","-3,24","-20,24","-16,82","65,00","67,98","9,38 M"
"U1LT34","16h06","103,50","-2,45","-1,37","-2,84","-9,61","11,05","103,50","103,62","537,52 K"
"M1DB34","16h11","75,36","-2,48","-2,69","2,50","-25,57","-13,28","74,40","75,36","10,61 K"
"CEEB3","17h07","39,10","-2,49","-2,49","1,88","2,80","10,10","39,10","39,99","59,31 K"
"MULT3","17h07","25,38","-2,50","-2,12","-1,05","-9,44","4,66","25,17","25,87","136,7 M"
"BNFS11","17h05","112,00","-2,52","-2,80","-4,68","-8,51","-8,64","112,00","114,90","257,52 K"
"C1BL34","10h58","422,94","-2,52","-1,45","8,45","58,59","65,14","422,94","422,94","856,81"
"U1BE34","16h40","114,95","-2,57","2,04","12,32","51,35","112,44","114,47","117,00","112,61 K"
"A1MD34","17h10","109,81","-2,60","-1,51","-1,34","22,24","74,75","108,17","112,22","9,66 M"
"WUNI34","10h16","65,68","-2,61","-2,67","-0,39","18,04","4,24","65,68","65,68","16,62 K"
"I1VZ34","11h44","102,70","-2,64","-3,11","6,54","20,97","70,74","102,70","102,70","1,25 K"
"SYNE3","17h07","8,02","-2,67","-5,65","4,29","126,38","163,19","8,00","8,26","5,35 M"
"JHSF3","17h06","4,36","-2,68","-1,13","6,86","-16,66","10,85","4,35","4,46","14,95 M"
"UGPA3","17h07","20,32","-2,68","-2,31","-4,20","-21,45","5,54","20,31","20,82","151,82 M"
"ESTR4","17h08","3,60","-2,70","3,45","-7,69","-13,88","-34,55","3,60","3,60","1,39 K"
"EVEN3","17h05","6,10","-2,71","-2,87","4,01","-15,91","14,31","6,07","6,27","8,17 M"
"D1OW34","13h41","74,20","-2,71","-1,73","-1,21","14,43","26,42","74,20","74,20","224,67"
"FESA4","17h07","7,44","-2,75","-2,75","-3,13","-36,20","-35,68","7,43","7,70","10,05 M"
"CEAB3","17h07","11,62","-2,76","-4,28","10,67","48,40","129,64","11,59","12,01","53,83 M"
"LOGN3","17h07","28,00","-2,78","-8,20","-17,65","-27,25","-31,20","28,00","29,19","1,64 M"
"ARML3","17h06","7,70","-2,78","-1,91","-2,31","-53,41","-37,84","7,70","8,01","10,36 M"
"HRDF11","16h06","3,14","-2,79","-6,82","0,64","-7,65","-15,14","3,14","3,18","269,47"
"CNIC34","13h07","26,45","-2,79","-2,36","0,34","5,44","21,51","26,45","26,57","8,03 K"
"BMEB4","16h48","38,00","-2,81","-3,60","-2,86","130,71","241,86","37,71","38,81","1,71 M"
"ALPA3","17h05","6,51","-2,84","-2,84","-5,79","-37,58","-15,45","6,50","6,54","36,48 K"
"LWSA3","17h07","4,41","-2,86","-2,00","5,50","-26,62","-23,70","4,39","4,56","30,05 M"
"CTXT11","17h05","7,12","-2,86","-0,70","0,14","-39,09","-41,16","7,12","7,32","3,03 K"
"BIOM3","17h06","8,70","-2,90","-2,25","-18,39","50,52","78,89","8,69","9,08","1,29 M"
"W1IX34","15h31","32,01","-2,91","-2,11","5,71","62,16","130,62","31,83","32,01","144,02 K"
"SNSY5","16h53","4,99","-2,92","-1,96","-10,41","30,29","23,51","4,92","5,05","17,39 K"
"JSLG3","17h06","7,56","-2,95","0,13","-14,19","-39,28","-12,19","7,56","7,85","6,03 M"
"EALT3","16h02","14,50","-3,01","-3,01","-4,54","54,20","100,16","14,50","14,50","4,43 K"
"BRKM3","17h00","17,51","-3,05","-2,23","-11,88","-19,27","-3,90","17,51","18,00","616,63 K"
"KEVE11","16h37","1075,00","-3,06","-3,06","-4,02","-4,22","1,61","1075,00","1075,00","348,36 K"
"PETZ3","17h07","4,74","-3,07","-4,05","0,42","20,00","24,41","4,74","4,91","50,48 M"
"QUAL3","17h06","2,13","-3,18","0,00","-4,91","-37,35","-35,84","2,11","2,22","18,54 M"
"D1OC34","13h44","19,86","-3,22","-4,61","19,06","35,84","98,80","19,86","19,88","30,97 K"
"DASA3","17h06","2,69","-3,24","-6,60","0,00","-72,04","-72,80","2,67","2,80","4,57 M"
"FNOR11","17h08","0,88","-3,30","-1,12","-5,38","23,94","23,94","0,88","0,91","3,22 K"
"BHIA3","17h06","4,24","-3,42","-3,20","-14,17","-62,74","-68,00","4,21","4,41","14,17 M"
"ARNC34","12h56","583,77","-3,48","-2,48","6,78","123,09","143,83","583,77","589,15","12,95 K"
"RCSL3","17h07","4,12","-3,51","-4,19","-19,37","-57,08","-50,24","4,10","4,35","5,04 M"
"RSID3","17h05","2,96","-3,58","-7,50","-10,03","-26,37","-24,68","2,96","3,13","148,93 K"
"XPID11","17h05","64,00","-3,59","-3,25","-4,83","-17,99","-15,88","64,00","66,39","761,54 K"
"NTCO3","17h07","14,11","-3,62","-5,24","0,43","-12,98","13,50","14,11","14,60","292,41 M"
"ECOR3","17h07","6,90","-3,63","-1,15","-0,29","-24,81","-1,20","6,90","7,16","36,63 M"
"NAVT11","17h07","77,50","-3,65","-3,11","-9,88","-14,84","-9,57","77,50","83,00","437,77 K"
"EUCA3","16h33","16,28","-3,67","-4,80","3,23","0,18","20,29","16,28","16,28","4,96 K"
"RPMG3","16h52","2,86","-3,70","-4,35","-3,70","34,91","29,41","2,84","3,02","115,69 K"
"OSXB3","16h51","4,39","-3,73","-4,57","2,09","3,78","-35,54","4,39","4,49","25,42 K"
"ONCO3","17h06","4,64","-3,73","-4,72","2,88","-64,31","-51,41","4,57","4,83","12,14 M"
"RBVO11","16h39","5,85","-3,78","-3,94","-53,42","-30,69","-29,86","5,72","6,08","151,17 K"
"MGLU3","17h07","9,30","-3,83","-1,06","-4,12","-56,74","-38,12","9,15","9,81","509,79 M"
"MRVE3","17h07","6,88","-3,91","-4,71","-4,97","-38,74","-19,72","6,84","7,13","138,82 M"
"AGXY3","16h54","0,49","-3,92","-7,55","-16,95","-86,50","-86,65","0,49","0,52","225,63 K"
"AZEV3","17h07","1,21","-3,97","-3,97","-10,37","-40,69","-40,69","1,21","1,28","1,16 M"
"D1EL34","16h52","689,41","-3,98","-5,25","7,27","86,69","111,44","682,00","718,00","526,73 K"
"LVTC3","17h00","3,60","-4,00","-2,70","-8,63","-14,08","-9,32","3,60","3,77","44,32 K"
"BNBR3","13h16","99,83","-4,01","-4,01","-5,55","-4,91","15,68","95,00","102,00","159,5 K"
"EZTC3","17h07","13,41","-4,21","-3,59","-0,89","-27,06","-12,60","13,36","13,95","30,15 M"
"BIAU39","16h54","74,19","-4,30","-0,30","9,52","55,86","58,46","73,41","74,20","3,84 M"
"PLRI11","10h03","11,01","-4,34","-4,34","-38,77","-28,97","-38,08","11,01","11,01","477,43"
"DOTZ3","16h48","5,49","-4,36","-2,14","10,69","-30,51","-45,10","5,37","5,65","412,47 K"
"VERZ34","17h10","39,67","-4,36","-5,21","-1,75","37,51","58,15","38,96","40,20","464,45 K"
"N1TA34","16h37","680,78","-4,42","-5,13","3,09","100,34","100,34","680,78","680,78","27,42 K"
"A1AP34","16h49","13,86","-4,94","-2,46","4,13","-24,53","-7,63","13,86","14,22","4,7 K"
"E1DU34","10h48","24,99","-5,02","-5,02","-8,46","11,80","24,00","24,99","25,21","1,38 K"
"BMLC11","15h40","93,93","-5,26","-4,64","-3,38","-12,05","-9,90","93,93","97,96","128,33 K"
"TCSA3","17h05","1,43","-5,30","-7,14","-23,94","-64,43","-49,29","1,41","1,56","721,72 K"
"S1HW34","16h50","206,36","-5,44","-6,76","-0,53","36,21","72,72","206,22","209,58","10,42 M"
"E1XR34","16h14","236,90","-5,45","-0,63","-3,42","22,96","60,62","236,90","236,90","487,46"
"AZUL4","17h07","5,63","-5,70","-5,06","-9,78","-64,83","-56,46","5,62","5,98","218,87 M"
"NGRD3","17h06","27,00","-5,79","-11,79","-5,27","-12,77","-13,46","27,00","28,77","1,58 M"
"KMBB34","10h28","775,72","-5,88","-4,73","0,07","36,32","28,11","775,72","775,72","18,84 K"
"L1MN34","17h05","35,50","-6,08","-8,27","-12,32","294,44","427,49","34,96","37,24","1,99 M"
"LMTB34","15h24","3286,50","-6,31","-5,50","2,06","52,12","48,58","3286,50","3327,65","12,35 M"
"BAHI3","17h13","4,65","-6,44","-6,81","-21,72","-43,22","-45,74","4,65","4,84","21,46 K"
"REGN34","13h37","89,00","-6,45","-6,45","-6,90","30,67","34,16","89,00","89,00","1,25 K"
"IFCM3","17h07","0,13","-7,14","-13,33","-13,33","-92,97","-90,15","0,12","0,15","7,87 M"
"RNEW3","17h05","1,13","-7,38","-7,38","1,80","-8,87","0,00","1,12","1,22","497,09 K"
"D1HI34","11h25","1030,00","-7,41","-7,41","-3,56","40,13","92,91","1030,00","1044,90","4,16 K"
"ATOM3","17h05","3,82","-8,39","-5,68","50,99","79,34","97,93","3,50","4,31","2,63 M"
"GEOO34","16h49","1008,65","-8,40","-8,02","-1,72","308,52","370,28","1006,00","1076,07","32,59 M"
"WGBA34","16h44","27,60","-8,55","-9,89","11,11","-56,00","-48,41","27,51","28,99","54,27 K"
"RNEW11","17h05","3,40","-8,60","-8,11","1,80","-9,09","0,29","3,40","3,56","65,03 K"
"N1UE34","13h34","68,73","-8,66","-8,41","-0,88","-3,04","17,78","68,17","68,81","23,38 K"
"L1EG34","16h45","70,36","-9,10","-9,10","-5,63","-43,62","-38,40","70,36","77,40","8,63 K"
"BICR11","15h52","35,35","-9,78","-2,59","-12,74","-53,16","-54,68","35,35","37,20","1,35 K"
"RNEW4","17h06","1,11","-10,48","-11,20","-1,77","-13,95","-1,77","1,11","1,24","963,27 K"
"RCSL4","17h13","1,57","-20,30","-14,21","65,26","-55,40","-61,89","1,51","2,17","21,16 M"
"PDGR3","17h07","0,01","-50,00","0,00","-50,00","-97,78","-99,62","0,01","0,02","1,13 M"
